date,open,high,low,close,volume,Name
2/8/2013,163.57,165.8,162.325,164.44,1163956,BIIB
2/11/2013,164.51,165.28,163.055,163.96,1036172,BIIB
2/12/2013,163.98,165.94,163.32,165.45,1079829,BIIB
2/13/2013,163.39,167.29,163.34,165.91,1378081,BIIB
2/14/2013,165.67,165.77,163.45,164.59,1203561,BIIB
2/15/2013,165.34,169.07,164.4,168.74,1933942,BIIB
2/19/2013,168.67,168.9,165.79,166.81,1127644,BIIB
2/20/2013,166.3,168.55,164.72,164.77,1540483,BIIB
2/21/2013,164.8,165.47,161.97,162.6,1162498,BIIB
2/22/2013,163.14,164.67,162.69,164.4,746660,BIIB
2/25/2013,164.09,166.95,161.25,161.36,1215702,BIIB
2/26/2013,160.65,163.52,160.4201,161.99,1381027,BIIB
2/27/2013,163,167.23,162.74,166.06,1034545,BIIB
2/28/2013,165.6,168.6861,164.62,166.34,1212147,BIIB
3/1/2013,165.3,171.11,164.45,168.7,1710887,BIIB
3/4/2013,167.64,170.02,165.98,169.96,1230019,BIIB
3/5/2013,170.08,173.72,170.05,171.31,1371156,BIIB
3/6/2013,171.54,172.58,169.99,172.45,1073982,BIIB
3/7/2013,172.44,173,171,171.47,968849,BIIB
3/8/2013,172.41,172.985,171.22,172.38,1165528,BIIB
3/11/2013,171.85,174.21,171.42,174.14,1092173,BIIB
3/12/2013,174.44,176.47,173.8101,176.05,1944621,BIIB
3/13/2013,175.62,176.34,174.23,176.15,1191460,BIIB
3/14/2013,176.2,177.91,175.91,176.78,1041776,BIIB
3/15/2013,175.96,178.18,175.76,176.78,2049444,BIIB
3/18/2013,174.81,176.74,174.53,175.52,870968,BIIB
3/19/2013,175.78,177.55,174.72,175.61,1236352,BIIB
3/20/2013,177.06,178.41,176.64,178.1,830709,BIIB
3/21/2013,177.28,178.33,176.18,176.55,1047714,BIIB
3/22/2013,176.88,178.9,176.88,178,929254,BIIB
3/25/2013,178.48,178.48,175.63,176.22,1136549,BIIB
3/26/2013,177.42,178.13,175.98,177.09,1232662,BIIB
3/27/2013,176.52,184.17,176.01,182.68,2456383,BIIB
3/28/2013,186.6,192.92,186.36,192.618,3994948,BIIB
4/1/2013,193.66,196.78,191.8,192.77,2067026,BIIB
4/2/2013,194.94,199.5399,194.23,198.19,2039241,BIIB
4/3/2013,198.38,199.0456,194.16,195.74,1824010,BIIB
4/4/2013,197.76,198.87,194.48,195.68,1199070,BIIB
4/5/2013,193.05,193.9899,191.8,193.31,1317763,BIIB
4/8/2013,193.6,194.8799,192.33,194.13,709139,BIIB
4/9/2013,194.51,195.43,192.2,193.17,746358,BIIB
4/10/2013,193.69,198.44,193.22,198.34,887061,BIIB
4/11/2013,198.94,201,197.18,200.26,884832,BIIB
4/12/2013,202.59,209,201.9,207.01,1833671,BIIB
4/15/2013,206.88,207.5,198.5094,198.75,1409009,BIIB
4/16/2013,201.51,202.48,197.74,202.125,1308037,BIIB
4/17/2013,200.11,204.75,199,204.08,1309947,BIIB
4/18/2013,204.18,204.18,197.92,198.66,978791,BIIB
4/19/2013,197.65,203.72,197.5,203.27,942567,BIIB
4/22/2013,204.86,216.67,204.36,215.2,2677905,BIIB
4/23/2013,216.88,217.8,211.23,212.76,1971634,BIIB
4/24/2013,211.93,212.31,205.91,206.18,1584701,BIIB
4/25/2013,212.23,217.67,212.1001,216,1984793,BIIB
4/26/2013,215.89,218.455,212.53,213.59,1083351,BIIB
4/29/2013,219.71,225,219.35,223.61,2066235,BIIB
4/30/2013,223.94,226.18,218.21,218.93,1620301,BIIB
5/1/2013,215.39,218.39,214,214.33,1236124,BIIB
5/2/2013,214.68,219.08,213.26,217.3,1124451,BIIB
5/3/2013,220.39,222.55,217.85,218.85,922300,BIIB
5/6/2013,221.72,222,215.39,215.73,942158,BIIB
5/7/2013,214.81,216.62,211.63,212.55,1119507,BIIB
5/8/2013,212.03,215.6199,209.57,210.71,1141499,BIIB
5/9/2013,210.4,212.04,208.5001,209.28,1027522,BIIB
